symbol,inputdata,revenuedata
1,0.23049,-0.00807
1,-0.0034,0.08021
1,0.0403,0.08779
1,0.02092,0.01828
1,-0.38007,0.16867
1,-0.13409,0.15733
1,-0.11936,0.25316
1,-0.12921,-0.01071
1,0.09681,-0.04875
2,0.22053,0.67122
2,0.18804,0.23403
2,0.12171,0.50793
2,0.11996,0.96958
2,-0.05219,0.95647
2,0.0729,2.31304
2,0.12197,3.65155
2,0.07598,3.119
2,-0.04162,-1
2,0.13368,1.75543
4,-0.07676,0.62758
4,0.08058,0.20107
4,0.0282,-0.35426
4,-0.03488,-1
4,0.05376,0.12666
4,0.31878,0.03309
4,0.03714,0.42759
4,0.61895,0.844
4,-0.03103,5.5774
4,-0.35455,0.69482
5,-0.02115,-0.20763
5,0.08636,0.04298
5,0.12443,0.9084
5,0.03451,-1
5,-0.20305,0.3261
5,-0.05173,-0.29717
5,0.04512,-0.04158
5,1.02358,0.69073
5,-0.02635,2.37462
5,-0.22539,0.84954
6,0.13208,0.48625
6,-0.0242,0.70932
6,-0.19852,0.13831
6,-0.19136,1.30915
6,0.03307,1.87363
6,-0.02559,-0.13065
6,0.20266,-0.54408
6,0.02948,0.27116
6,-0.04384,-1
6,-0.01746,-0.39919
7,0.22088,-0.11338
7,0.02046,0.18133
7,0.0157,0.22793
7,0.52754,0.47859
7,-0.07345,0.28038
7,-0.00818,-1
7,-0.03932,0.00454
7,0.00137,-1
7,0.27252,0.1045
7,-0.06842,-1
7,-0.03628,0.08249
7,0.05209,-1
7,0.03178,-0.13476
8,0.00767,0.09165
8,-0.08237,0.04594
8,0.13881,1.17554
8,0.17398,-0.06246
8,-0.1968,0.05241
8,-0.11564,0.03584
8,0.07883,0.16013
8,-0.11337,-1
8,-0.16102,0.89565
8,-0.09141,0.80761
9,0.02426,0.01926
9,0.01119,-0.15044
9,0.14294,-1
9,0.16936,0.75645
9,-0.08461,0.8379
9,-0.03709,0.01693
9,0.19424,0.31267
9,-0.18812,0.20833
9,-0.23281,0.02521
9,-0.03732,0.32045
10,-0.23881,0.80693
10,0.1297,0.39601
10,0.13338,0.63753
10,0.62351,0.5979
10,-0.65087,7.24132
10,0.23184,0.72015
10,0.09473,-1
10,0.47231,0.65499
10,-0.16582,2.62562
10,-0.25134,0.60374
11,-0.01533,2.09235
11,0.20249,6.39294
11,0.2579,-0.82673
11,-0.17097,3.0775
11,0.14318,-0.46172
11,-0.05118,0.57822
11,0.21091,0.50431
11,0.04432,-0.10252
11,0.0834,-0.73191
12,-0.3277,0.37596
12,-0.319,0.18725
12,-0.02716,0.11847
12,-0.03421,0.1964
12,0.27344,0.42791
12,-0.09726,0.20021
12,-0.03108,0.15893
12,0.13125,0.16893
12,-0.1765,0.16399
14,0.01161,4.06179
14,0.17647,-0.75083
14,-0.11564,1.65126
14,0.08045,-0.1768
14,0.054,-0.26321
14,0.12055,0.21199
14,0.31919,3.06715
14,-0.07821,1.78704
14,-0.06885,1.11523
16,-0.29234,-0.01939
16,0.01316,-0.13907
16,-0.10472,0.05571
16,0.04237,0.02527
16,0.04917,-0.03979
16,-0.04264,0.07379
16,1.15041,-0.0424
16,0.02326,0.11405
16,0.23767,0.43389
17,-0.19344,0.12961
17,-0.01402,-1
17,-0.07542,0.46136
17,-0.00013,0.47068
17,0.04834,0.70264
17,0.03572,0.65726
17,-0.03965,1.23795
17,0.04387,1.42808
17,-0.13982,0.98983
17,-0.21324,0.0997
18,0.15916,-0.06246
18,0.06771,0.74408
18,0.02091,-0.25569
18,-0.03467,0.00715
18,0.26276,0.05342
18,0.23117,0.08727
18,0.02151,-0.15413
18,-0.79163,0.11273
18,-0.15271,0.85421
19,-0.22434,0.35374
19,-0.03784,0.04285
19,-0.07282,0.02494
19,0.00581,-0.2466
19,0.03244,0.16238
19,-0.18855,-0.10096
19,0.14481,0.74
19,-0.17547,0.05521
19,-0.02173,0.3118
20,-0.08233,0.27387
20,0.21932,-1
20,0.26431,0.65722
20,-0.05696,0.01301
20,-0.00962,-0.21612
20,0.08039,-0.03894
20,0.02358,0.25392
20,0.27563,0.11665
20,-0.08998,0.24793
20,-0.19315,0.291
21,0.19257,0.40456
21,-0.04239,-0.04889
21,-0.1367,-0.10148
21,-0.07648,0.0856
39,0.08971,0.27495
40,-0.22,0.18896
40,0.12995,-0.57302
40,-0.0146,0.29212
40,-0.09671,-1
40,-0.07071,-0.4896
40,0.00561,1.33183
40,0.0249,0.62359
40,0.44012,0.45264
40,0.09346,0.1405
40,-0.02133,-1
40,-0.15795,1.90289
42,0.3301,4.15753
42,0.12031,0.39115
42,0.40389,-0.71891
42,0.02316,-0.71248
42,0.00599,-1
42,0.18064,0.0447
42,0.00419,-1
42,-0.56783,-0.633
42,-0.06927,-0.86674
42,0.23665,-0.25761
42,-0.1278,0.98519
43,0.42062,0.33314
43,0.08473,0.08238
43,-0.23233,0.47794
43,-0.53635,0.01689
43,0.11229,0.24119
43,-0.07777,0.14715
43,0.21352,0.25246
43,0.07977,0.30834
43,-0.06908,0.35607
45,-0.27044,1.25174
45,0.09582,0.38741
45,-0.04236,-0.44014
45,-0.17455,-0.03655
45,0.03943,0.11743
45,-0.06814,0.13595
45,-0.02593,0.05127
45,0.05007,0.10498
45,0.00385,-1
45,-0.02023,0.71424
46,0.3484,2.25165
46,0.10749,-0.89683
46,-0.44942,2.06346
46,-0.07613,1.00968
46,0.06146,0.03292
46,-0.0073,0.20606
46,-0.15228,0.50149
46,0.04967,0.29833
46,-0.12308,-0.82064
48,-0.17245,0.19866
48,-0.10245,0.06681
48,0.48321,0.2018
48,0.07075,0.38324
48,0.24072,0.15891
48,-0.00861,0.20376
48,0.97875,1.36262
48,-0.09664,0.32808
48,-0.14519,0.19582
49,-0.15863,0.61358
49,0.32747,0.07268
49,0.10368,0.04357
49,0.34011,-0.30205
49,0.26676,-0.28059
49,-0.46481,-0.12674
49,0.15767,0.08204
49,-0.07336,-0.02648
49,-0.0072,0.03952
50,-0.23544,0.51461
50,0.24298,0.26339
50,0.01614,0.07442
50,0.04061,0.27529
50,0.11689,0.16373
50,0.91956,0.10688
50,-0.04546,0.10547
50,-0.0381,0.02748
50,0.34646,0.13747
55,-0.17657,0.30077
55,-0.15016,0.20072
55,-0.3724,0.21056
55,-0.16017,0.26471
55,0.31826,0.43871
55,0.05032,-1
55,0.26257,0.31279
55,-0.19158,0.40461
55,-0.08251,0.15188
55,-0.43103,0.44045
56,-0.01728,0.47987
56,0.16786,0.35445
56,0.40758,-0.05269
56,0.07697,7.21945
56,0.28008,-0.39619
56,-0.27189,-0.04315
56,0.29335,-0.2474
56,-0.54772,0.13842
56,0.00853,0.10035
58,-0.30983,0.03088
58,-0.00945,-0.04729
58,0.13265,0.16561
58,-0.02311,0.11968
58,0.2019,0.09596
58,0.15031,0.1677
58,-0.02428,-0.03928
58,-0.12585,-0.10245
58,-0.1786,-0.13409
59,0.10937,-0.04688
59,-0.08304,1.05359
59,0.07921,0.03636
59,-0.16833,-0.07638
59,-0.13051,0.01223
59,0.58228,0.16097
59,-0.01371,-1
59,-0.02507,-1
59,0.00805,0.69191
59,0.01732,0.06895
59,-0.00521,0.00677
60,0.26068,0.31363
60,-0.27329,0.0891
60,-0.26904,0.16351
60,-0.01236,0.34302
60,-0.09926,0.38729
60,0.30206,0.20069
60,-0.08525,0.38001
60,-0.00885,0.0086
60,0.17036,0.0841
61,-0.5809,0.40544
61,0.24238,-0.0823
61,-0.05432,0.23913
61,-0.39527,-0.0299
61,0.31591,-0.17343
61,-0.06493,0.24488
61,0.0159,0.31926
61,-0.04248,0.05326
61,-0.14276,-0.08872
62,-0.01583,0.09798
62,-0.0215,0.13405
62,0.04051,0.17007
62,-0.06061,0.19548
62,0.45036,0.24088
62,0.14564,1.7337
62,0.63041,0.15167
62,-0.06992,0.1983
62,0.01742,0.46548
63,-0.29751,0.37423
63,-0.37455,0.31789
63,-0.21399,0.47512
63,-0.22601,0.29097
63,0.44512,0.07679
63,-0.00954,-0.02142
63,-0.14742,0.18578
63,-0.01189,0.18484
63,0.31747,0.09794
65,-0.18797,0.91031
65,-0.1347,-0.30262
65,0.0725,10.33789
65,0.00649,2.34503
65,-0.16584,1.04534
65,0.02756,0.55796
65,0.31809,0.71307
65,0.2066,0.18169
65,-0.21753,0.16577
66,0.32405,0.52911
66,-0.49878,0.25918
66,-0.14059,-0.02076
66,-0.13595,0.19936
66,0.44738,0.06807
66,0.57393,0.12681
66,0.51956,0.09394
66,-0.05453,0.03173
66,-0.19484,-0.13616
68,0.28598,-0.02611
68,-0.17444,-0.28522
68,0.15563,-0.16748
68,-0.20028,-0.04518
68,0.08811,0.42596
68,0.10139,-0.70278
68,0.32516,-0.01804
68,-0.00497,0.27527
68,-0.19987,2.54509
69,0.23482,1.16092
69,0.13044,0.98704
69,0.06671,0.6197
69,-0.13852,0.62953
69,0.08772,0.74877
69,0.07509,0.38911
69,0.04986,0.44873
69,0.05089,0.08355
69,0.00852,0.24013
70,-0.19442,0.29401
70,-0.06583,0.0642
70,0.00026,0.01932
70,0.01349,0.19161
70,0.62341,0.33844
70,-0.09164,0.58196
70,0.08784,0.39977
70,-0.00791,0.07638
70,-0.56868,0.26019
70,0.00242,-1
78,0.53894,0.2135
78,0.05999,0.20253
78,-0.18192,-0.06967
78,0.02951,-0.11132
78,-0.08058,0.01869
78,0.0357,0.04166
78,-0.0671,0.01821
78,-0.66497,0.03303
78,-0.05758,0.20136
88,-0.047,0.07655
88,-0.02425,0.02807
88,-0.13155,-0.14807
88,0.06768,0.00761
88,-0.18792,0.05156
88,-0.04058,0.04993
88,-0.01085,-0.06582
88,0.03363,0.00417
88,0.0015,-1
88,-0.06145,-0.00724
89,-0.153,0.07162
89,-0.0464,0.00594
89,-0.01086,0.03753
89,0.00434,0.02256
89,0.0476,0.05151
89,0.00016,0.05126
89,0.06788,0.03617
89,0.09434,-0.00568
89,-0.03907,0.10665
90,-0.40366,0.12936
90,0.26842,0.01715
90,0.03175,-0.44094
90,-0.10963,0.10342
90,-0.06476,-0.27375
90,-0.04678,-0.03709
90,-0.09719,0.38691
90,-0.29811,-0.00775
90,0.11196,-0.27211
96,-0.14927,0.01432
96,-0.14155,0.24381
96,-0.0351,0.102
96,-0.05277,-0.13896
96,-0.00717,0.10189
96,0.17011,0.22882
96,0.5959,0.10323
96,0.04211,0.06567
96,-0.13519,0.50838
99,0.08172,0.11991
99,0.18315,0.17178
99,-0.00263,0.19914
99,0.00734,0.1074
99,-0.08216,0.14908
99,0.06068,0.21611
99,0.40101,0.03012
99,0.03837,0.1011
99,-0.04171,0.10197
100,-0.23667,0.26901
100,-0.03043,-0.05608
100,-0.48269,0.04584
100,-0.0003,0.04833
100,-0.17258,0.11522
100,0.0191,0.07012
100,-0.02839,0.00272
100,-0.0699,0.066
100,0.00298,0.05654
150,0.07725,10.87428
150,-0.08562,2.70341
150,0.05643,0.11502
150,0.01991,-0.04351
150,0.10717,-0.93728
150,0.03171,4.11538
150,0.34609,0.33235
150,0.09695,0.47636
150,-0.1076,0.24237
151,-0.32428,1.37722
151,0.1469,1.06425
151,-0.10214,0.41658
151,-0.14397,2.29626
151,-0.08402,0.55066
151,0.86097,1.57192
151,0.00584,-1
151,0.15357,-0.10984
151,-0.00981,0.17087
151,-0.10798,-0.18735
153,-0.12162,0.0445
153,0.02357,0.19551
153,-0.01085,-0.07887
153,0.05257,0.33442
153,-0.02484,0.05298
153,0.26993,0.10633
153,0.07567,-0.01475
153,0.09207,0.09007
153,-0.17668,0.20474
155,-0.20378,-0.26049
155,-0.10742,0.26845
155,-0.03085,-0.28572
155,-0.07499,2.88072
155,-0.04888,-1.39758
155,-0.10112,1.21005
155,0.13042,0.56517
155,-0.16552,0.18103
155,-0.03103,0.6033
155,-0.06906,0.30676
155,-0.00404,-1
156,-0.34345,0.45402
156,0.13269,0.50023
156,0.1108,0.65643
156,0.12206,0.25378
156,1.0641,0.13805
156,0.06685,0.03406
156,-0.16124,0.04241
156,-0.00845,0.0779
156,-0.14401,0.10714
157,-0.19454,0.63482
157,0.31453,0.72753
157,-0.18614,0.24944
157,-0.03406,0.50837
157,-0.24452,1.38187
157,-0.09561,0.607
157,0.00975,0.79456
157,-0.08364,0.97774
157,-0.05069,0.42471
157,0.00248,-1
158,0.13765,0.039
158,0.11784,0.27041
158,-0.04584,-0.04265
158,-0.09043,-0.04147
158,0.00852,-0.09145
158,0.15924,-0.02223
158,-0.05318,1.03292
158,-0.08455,0.7493
158,-0.38504,0.32505
159,-0.12819,0.7393
159,-0.34688,0.7816
159,-0.12964,0.67806
159,-0.10667,0.19873
159,0.03753,0.53016
159,-0.00496,0.62806
159,-0.14354,-0.40988
159,-0.00872,2.41665
159,-0.2007,0.20292
166,-0.2053,0.81039
166,-0.27236,0.07167
166,-0.03637,0.14547
301,0.0114,-0.29731
301,-0.0775,-0.57046
301,-0.12842,0.17886
301,-0.0122,0.14231
301,0.07113,-0.30162
301,-0.04515,0.10284
301,-0.06383,0.24056
301,-0.0524,0.29609
301,-0.03755,0.33821
333,0.08075,0.46743
333,0.11821,0.08694
333,-0.6453,0.01639
333,0.0526,-0.05525
333,-0.22134,0.02188
333,0.10505,0.08264
338,0.13426,0.562
338,0.27167,0.18965
338,-0.0859,-0.01529
338,-0.34175,-0.00088
338,-0.07601,0.35032
338,0.09621,0.05026
338,-0.43362,0.07853
338,0.05609,0.23983
338,-0.42364,0.06678
338,0.05295,-1
400,0.35753,0.91664
400,-0.07235,0.84168
400,0.02009,0.55925
400,-0.01513,0.56621
400,0.03693,0.29953
400,-0.36757,0.54999
400,-0.13631,0.67304
400,-0.06218,1.0654
400,-0.12162,0.87358
401,-0.23903,2.1011
401,0.41784,1.62422
401,-0.0954,1.2254
401,-0.26186,1.33185
401,-0.29131,2.06102
401,-0.03625,1.3035
401,-0.22714,1.38762
401,-0.07704,1.65241
401,-0.07043,1.721
402,0.05856,3.15557
402,-0.08837,0.86711
402,0.03212,1.34148
402,0.05378,0.39705
402,-0.03474,1.22889
402,0.01533,-0.21034
402,-0.07616,1.85491
402,0.41482,-0.56635
402,-0.14502,-1
402,-0.04211,-0.09748
403,-0.21419,0.15155
403,0.07604,-0.06945
403,0.13568,-0.082
403,0.14556,0.00424
403,0.02955,0.01196
403,-0.02391,-1
403,-0.09885,-0.17974
403,0.27227,0.30258
403,0.05232,-0.27964
418,0.20144,-0.1167
418,-0.10205,-0.14282
419,-0.20405,0.11887
419,-0.03404,-0.04009
419,0.04915,-0.08006
419,-0.17663,-0.00464
419,0.26467,0.01562
419,-0.03136,-0.07273
419,0.14638,-0.08995
419,0.08541,-0.11859
419,-0.12267,-0.07833
420,0.09493,0.13904
420,-0.17874,-0.01047
420,-0.0896,-0.00438
420,-0.18681,0.0008
420,-0.10855,-0.06571
420,0.21646,-0.33896
420,0.21812,0.29499
420,0.07962,-0.00693
420,-0.06892,0.00557
421,-0.05094,-0.30516
421,-0.18633,0.60585
421,0.02312,-0.09647
421,0.09493,-0.08636
421,0.00599,-0.10529
421,0.00822,-0.366
421,0.12625,-0.20101
421,0.01677,-0.00771
421,-0.09537,-0.2097
422,0.18114,0.09436
422,-0.04322,0.15701
422,0.08798,0.28515
422,-0.22552,0.05799
422,-0.17986,0.19136
422,0.02388,-1
422,-0.06147,-1
422,0.1111,0.04488
422,-0.03148,-1
422,0.00399,-0.01627
422,0.01792,-0.14276
422,-0.03052,-1
422,-0.04882,-0.12405
423,-0.20569,0.28008
423,0.31183,-0.04512
423,0.13722,-0.18274
423,0.05939,-0.39075
423,0.05336,-0.18857
423,0.00737,-0.17588
423,0.12507,-0.22122
423,0.28677,-0.19675
423,-0.03186,-0.24952
425,-0.16946,0.64867
425,0.0227,0.49163
425,-0.01156,0.00724
425,-0.07024,0.24847
425,-0.17545,0.06923
425,0.0937,-0.05254
425,0.10286,0.0272
425,-0.10414,0.34023
425,0.00767,-1
425,-0.07168,0.40759
426,0.64671,-0.66542
426,-0.07291,-0.66961
426,-0.06422,-0.70398
426,0.0283,0.71066
426,-0.16551,0.6554
426,0.53319,0.06705
426,-0.3475,0.20444
426,0.34858,1.30727
426,0.3377,0.43844
426,0.04725,-1
428,-0.60543,0.54348
428,0.00117,0.26093
428,-0.13242,0.02752
428,0.00499,-0.06033
428,1.12496,0.01828
428,-0.02307,-1
428,0.05177,-1
428,-0.19075,-0.24755
428,-0.0251,-0.02064
428,-0.08317,0.19464
428,-0.1842,-0.00613
429,-0.16057,0.01544
429,0.07419,0.0167
429,-0.02044,0.06079
429,0.03793,0.02792
429,-0.04447,0.03421
429,0.05091,-1
429,0.12084,0.13079
429,0.07161,0.02644
429,0.16689,1.46629
429,-0.01657,0.03174
430,-0.54441,2.07505
430,-0.0511,1.9309
430,0.05848,21.09935
430,0.04951,-1
430,0.26017,2.26209
430,-0.09786,0.78272
430,0.01282,1.85103
430,0.12919,1.61301
430,-0.02514,0.66841
430,0.05121,-1
430,-0.05403,1.31185
488,-0.10507,0.32231
488,-0.07776,0.08724
488,-0.11186,0.11526
488,-0.08017,0.09676
488,0.08422,0.03661
488,-0.03723,0.22704
488,0.13126,0.18072
488,0.03833,0.14186
488,0.04992,-1
488,-0.00809,-1
488,0.32547,0.19137
488,0.12574,-1
498,-0.17518,14.73514
498,-0.18966,0.58132
498,0.02388,0.68984
498,-0.00037,-1
498,0.11111,1.05483
498,0.09451,1.15813
498,0.03536,1.25777
501,0.04303,-0.21294
501,0.3474,-0.20362
501,0.11883,-0.21579
501,-0.08728,-0.16081
501,0.04558,-0.1234
501,-0.09772,-0.17187
501,0.03212,-0.16337
501,0.05467,-0.14688
501,-0.28899,-0.10548
502,-0.1479,0.52186
502,0.00788,-0.17013
502,0.15084,8.017
502,-0.21874,0.10252
502,0.32808,0.83954
502,-0.07602,-0.54689
502,0.05298,1.03442
502,-0.20381,0.17867
502,-0.16969,-0.09867
503,-0.20722,0.02347
503,-0.00608,-0.0675
503,-0.2758,-0.70861
503,0.16416,0.47065
503,0.27077,0.44636
503,-0.03758,-0.00333
503,-0.13675,-0.0892
503,0.56601,-0.22637
503,-0.2149,0.07643
504,0.13388,-0.68977
504,-0.04776,0.41901
504,-0.04042,-0.38168
504,-0.04726,0.14862
504,0.27398,0.89979
504,-0.03977,-1
504,0.02391,-1
504,-0.10014,0.42414
504,-0.06292,3.9323
504,-0.05406,1.77427
504,0.1837,2.86897
505,-0.1387,-0.07072
505,-0.01975,0.83087
505,-0.09793,-0.27788
505,-0.0233,-0.33313
505,0.0486,-0.28697
505,0.26573,-0.34237
505,-0.09848,-0.26218
505,-0.03103,-0.13768
505,-0.10486,-0.42906
506,-0.34486,1.28044
506,-0.02451,0.57127
506,-0.06091,1.99973
506,-0.10477,0.81634
506,-0.30011,0.23626
506,0.16694,0.4657
506,0.66564,1.56711
506,-0.11776,-0.16434
506,-0.07046,3.00648
507,-0.16318,2.91399
507,0.0845,0.53399
507,0.07201,0.4002
507,-0.41661,-0.13389
507,-0.08614,0.25935
507,-0.16443,0.30322
507,-0.23122,0.22607
507,0.00304,0.46391
507,0.1053,0.15157
509,-0.17071,0.46516
509,-0.09506,0.43011
509,0.44179,-0.13144
509,0.02429,-0.01196
509,0.35188,-0.51312
509,0.42977,-0.2794
509,-0.07071,0.19875
509,0.18399,0.21488
509,-0.21538,6.65164
510,0.21212,0.404
510,-0.09867,0.0765
510,0.05208,0.21276
510,-0.06304,0.21432
510,-0.03943,0.14139
510,0.25184,0.03703
510,0.10804,0.27838
510,0.05468,0.14764
510,-0.06598,0.12773
511,0.03851,0.01257
511,-0.01322,-0.06899
511,-0.01826,0.41778
511,0.35753,0.57824
511,0.04343,2.09425
511,0.78728,-0.28719
511,0.06598,0.06856
511,-0.02741,-0.63647
511,-0.05505,1.90741
511,-0.00814,-1
513,0.07177,0.23749
513,-0.08347,0.03731
513,-0.07453,-0.03647
513,0.37254,0.11118
513,0.05233,0.04829
513,0.00659,0.1407
513,-0.01397,0.00619
513,0.05934,0.16794
513,-0.19397,0.01067
514,0.40122,0.5471
514,0.17387,1.34809
514,-0.04382,0.96859
514,-0.0425,-1
514,-0.14854,-0.07383
514,-0.16258,-0.05786
514,-0.00967,0.98005
514,-0.0986,0.29407
514,-0.08858,0.17404
514,-0.03534,1.41872
516,-0.59685,-0.2021
516,-0.25654,-0.19848
516,-0.06457,-0.20517
516,-0.04227,-0.19
516,0.03224,-0.15377
516,-0.1107,-0.14548
516,-0.22792,-0.15368
516,-0.63718,-0.12593
516,-0.29352,-0.09892
517,-0.06804,29.52159
517,0.03855,0.48262
517,-0.08285,-0.1857
517,-0.04527,-0.02241
517,0.36993,-0.56525
517,-0.05844,-0.16026
517,-0.15458,0.38258
517,-0.15556,-0.72437
518,-0.30355,0.16171
