id,prob
[100001],[4.74142056e-04 9.99525858e-01]
[100002],[2.04621389e-04 9.99795379e-01]
[100003],[2.04621389e-04 9.99795379e-01]
[100004],[9.99525149e-01 4.74850554e-04]
[100005],[2.04621389e-04 9.99795379e-01]
[100006],[8.22032783e-04 9.99177967e-01]
[100007],[2.04621389e-04 9.99795379e-01]
[100008],[2.04621389e-04 9.99795379e-01]
[100009],[2.04621389e-04 9.99795379e-01]
[100010],[2.04621389e-04 9.99795379e-01]
[100011],[9.99525149e-01 4.74850554e-04]
[100012],[0.99809392 0.00190608]
[100013],[9.99525149e-01 4.74850554e-04]
[100014],[3.54827784e-04 9.99645172e-01]
[100015],[2.04621389e-04 9.99795379e-01]
[100016],[2.04621389e-04 9.99795379e-01]
[100017],[9.99525149e-01 4.74850554e-04]
[100018],[2.04621389e-04 9.99795379e-01]
[100019],[9.99176739e-01 8.23260695e-04]
[100020],[2.04621389e-04 9.99795379e-01]
[100021],[9.99176739e-01 8.23260695e-04]
[100022],[2.04621389e-04 9.99795379e-01]
[100023],[2.04621389e-04 9.99795379e-01]
[100024],[2.04621389e-04 9.99795379e-01]
[100025],[9.99525149e-01 4.74850554e-04]
[100026],[2.04621389e-04 9.99795379e-01]
[100027],[2.04621389e-04 9.99795379e-01]
[100028],[2.04621389e-04 9.99795379e-01]
[100029],[2.04621389e-04 9.99795379e-01]
[100030],[0.99890008 0.00109992]
[100031],[2.04621389e-04 9.99795379e-01]
[100032],[2.04621389e-04 9.99795379e-01]
[100033],[2.04621389e-04 9.99795379e-01]
[100034],[2.04621389e-04 9.99795379e-01]
[100035],[2.04621389e-04 9.99795379e-01]
[100036],[2.04621389e-04 9.99795379e-01]
[100037],[2.04621389e-04 9.99795379e-01]
[100038],[9.99525149e-01 4.74850554e-04]
[100039],[2.04621389e-04 9.99795379e-01]
[100040],[9.99525149e-01 4.74850554e-04]
[100041],[2.04621389e-04 9.99795379e-01]
[100042],[2.04621389e-04 9.99795379e-01]
[100043],[2.04621389e-04 9.99795379e-01]
[100044],[2.04621389e-04 9.99795379e-01]
[100045],[9.99525149e-01 4.74850554e-04]
[100046],[3.54827784e-04 9.99645172e-01]
[100047],[2.04621389e-04 9.99795379e-01]
[100048],[4.74142056e-04 9.99525858e-01]
[100049],[2.04621389e-04 9.99795379e-01]
[100050],[4.74142056e-04 9.99525858e-01]
[100051],[2.04621389e-04 9.99795379e-01]
[100052],[9.99525149e-01 4.74850554e-04]
[100053],[8.22032783e-04 9.99177967e-01]
[100054],[3.54827784e-04 9.99645172e-01]
[100055],[2.04621389e-04 9.99795379e-01]
[100056],[2.04621389e-04 9.99795379e-01]
[100057],[2.04621389e-04 9.99795379e-01]
[100058],[0.99809392 0.00190608]
[100059],[9.99525149e-01 4.74850554e-04]
[100060],[2.04621389e-04 9.99795379e-01]
[100061],[2.04621389e-04 9.99795379e-01]
[100062],[2.04621389e-04 9.99795379e-01]
[100063],[2.04621389e-04 9.99795379e-01]
[100064],[2.04621389e-04 9.99795379e-01]
[100065],[2.04621389e-04 9.99795379e-01]
[100066],[8.22032783e-04 9.99177967e-01]
[100067],[9.99525149e-01 4.74850554e-04]
[100068],[2.04621389e-04 9.99795379e-01]
[100069],[2.04621389e-04 9.99795379e-01]
[100070],[2.04621389e-04 9.99795379e-01]
[100071],[2.04621389e-04 9.99795379e-01]
[100072],[4.74142056e-04 9.99525858e-01]
[100073],[2.04621389e-04 9.99795379e-01]
[100074],[2.04621389e-04 9.99795379e-01]
[100075],[2.04621389e-04 9.99795379e-01]
[100076],[2.04621389e-04 9.99795379e-01]
