代码,名称,GB2,CLSOE2,每股收益,每股净资产,净资产收益率,每股经营现金,每股公积金,每股未分配,股东权益比,净利润同比,主营收入同比,销售毛利率,调整每股净资,总资产,流动资产,固定资产,无形资产,流动负债,长期负债,总负债,股东权益,资本公积金,经营现金流量,投资现金流量,现金增加额,主营收入,主营利润,营业利润,营业外收支,利润总额,净利润,未分配利润,总股本,无限售股合计,A股,64组换手,64组涨幅,64组振幅,64组总量,64组总额,64组上涨%,MACD,BBI,MA,BIAS,KDJ,W&R,PSY,OBV,ASI,BOLL,VSTD,ADTM,ATR
'000720',*ST新能,-0.019,4.19,0.45,1.311,0.41 ,0.226,0.532,-0.332,30.011,1343.263,-33.234,18.059,1.311,563590,511923,7545,746,216419,169482,385901,169140,68612,29200,36905,30839,41569,7006,58845,81,58926,58071,-42848,128965,86346,86346,50.52%,-18.31%,29.75%,4362235,184088.36,46.88,-0.063,4.012,4.066,-12.105,55.273,97.26,41.667,84122944,-968.532,4.054,36881.711,0.054,0.64
'300272',开能环保,0.218,12.29,0.891,2.821,0.37 ,0.0006,0.498,1.163,76.079,3011.825,18.483,30.94,2.775,147628,43912,34165,11985,30427,1938,32365,112314,19838,22,1176,514,16054,4900,37658,76,37733,35491,46318,39819,22209,22209,102.23%,42.74%,96.23%,2270517,241451.98,56.25,0.703,11.599,12.194,-17.325,52.246,80.482,50,9877883,-609.061,10.612,54897.121,0.234,2.19
'600319',亚星化学,-0.119,8.4,0.036,0.139,0.30 ,-0.161,2.696,-3.721,3.073,5366.203,7.747,10.841,0.114,142217,53611,74005,12843,132996,4850,137846,4371,85095,-5069,115,-4558,50554,4911,1134,0,1133,1133,-117439,31559,31559,31559,72.17%,-38.94%,41.27%,2277587,180639.08,40.63,-0.072,7.816,7.928,-27.482,45.377,94.801,58.333,24524692,-1402.944,7.848,24038.686,-0.1,2.8
'600671',天目药业,-0.018,18.48,0.167,0.718,0.26 ,0.282,0.423,-0.904,18.128,755.393,280.983,33.03,0.695,48207,25722,14553,5190,24616,10335,34951,8739,5150,3428,820,3641,9037,2878,-114,3736,3622,2028,-11007,12178,12172,12172,61.21%,-26.67%,36.25%,744991,146229.86,35.94,-0.315,18.281,18.36,-13.615,42.114,95.894,50,15519946,-1710.328,18.397,7713.181,-0.28,2.65
'000717',韶钢松山,0.137,6.49,0.355,1.584,0.25 ,-0.041,1.334,-1.015,27.573,410.419,15.891,16.296,1.584,1389693,393341,783910,19216,978595,27912,1006507,383186,322877,-9918,-23285,-63144,610604,97099,85767,64,85831,85831,-245639,241952,241952,241952,123.53%,-9.70%,35.89%,29889228,2080374.63,50,-0.091,6.682,6.562,-5.431,10.189,94.545,50,144548304,-871.309,6.905,88254.328,-0.423,0.31
'300251',光线传媒,-0.045,11.16,0.68,3.345,0.21 ,0.0068,0.846,1.298,76.071,976.953,-34.249,37.763,3.335,1367238,671434,3626,82,118022,205959,323981,1040074,248304,1991,-33006,-33398,40075,14940,234497,790,235287,199278,439350,293361,275233,275233,114.46%,-15.82%,28.65%,31503946,3877596.75,48.44,-0.198,11.097,11.11,-6.513,41.051,92.593,50,43300456,-538.763,11.229,165925.922,-0.283,0.83
'300618',寒锐钴业,-0.179,162.6,1.33,6.326,0.21 ,0.207,1.879,3.629,45.53,412.517,218.666,53.122,6.313,266753,222828,22214,2985,121253,24048,145302,121452,36078,3982,3678,19338,73734,38128,34188,-2,34186,25483,69681,19200,11398,11398,190.15%,-22.54%,64.23%,2167454,5002342,56.25,-7.932,150.59,146.128,-19.54,33.234,96.5,41.667,1971149,979.785,159.317,20281.045,-0.453,46.5
'300176',鸿特科技,0.196,72,1.089,5.943,0.18 ,0.663,1.093,3.621,48.371,1564.367,184.079,71.07,5.667,274848,166498,89166,5392,125410,16491,141901,132947,31931,13509,-5885,10612,107456,75698,30118,-33,30085,22208,85609,20383,20035,20035,32.41%,25.92%,30.05%,649304,865733.25,54.69,1.097,72.562,73.262,6.637,78.741,3.815,50,4571763,84.66,70.607,4017.122,0.266,6.58
'600516',方大炭素,0.048,28.11,1.059,4.639,0.18 ,0.384,1.283,2.232,74.037,2476.747,408.402,83.14,4.637,1579946,1280555,160942,46299,312038,35576,347614,1169745,229517,68731,34673,99757,352192,286375,243283,-53,243231,189447,739107,178879,171916,171916,246.02%,-10.50%,32.41%,42294836,11697704,56.25,0.62,26.491,27.424,-16.789,53.349,98.971,58.333,193360064,-712.893,25.247,346124.281,0.003,5.34
'600678',四川金顶,0.121,10.35,0.0163,0.0992,0.15 ,-0.0588,0.875,-1.865,7.856,167.217,111.016,26.653,0.0992,44058,7138,16896,8754,4006,36493,40499,3461,30535,-2052,-2725,-2294,5025,1102,563,0,563,570,-65069,34899,34899,34899,36.57%,-11.80%,34.54%,1276094,125266.36,46.88,0.055,10.247,10.286,-0.227,62.589,47.222,50,39805328,-1653.311,10.21,2487.73,0.015,0.17
